2017-10-08 13:40:49,317 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:49,319 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:49,323 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:49,324 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Client\src\test\resources
2017-10-08 13:40:49,438 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-10-08 13:40:50,009 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.AcrLifecycleMapping lifecycle mapping for MavenProject: Project2V10Client:Project2V10Client:0.0.1-SNAPSHOT @ C:\Views\workspaces\projekt2V10\Project2V10Client\pom.xml.
2017-10-08 13:40:50,221 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/appClientModule
2017-10-08 13:40:50,222 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /Project2V10Client/appClientModule overlaps with sources folder /Project2V10Client/appClientModule
2017-10-08 13:40:50,227 [Worker-5] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project2V10Client/src/test/java
2017-10-08 13:40:50,324 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:50,328 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-10-08 13:40:50,334 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:50,335 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Views\workspaces\projekt2V10\Project2V10Client\src\test\resources
2017-10-08 13:40:50,418 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Project2V10Client
2017-10-08 13:40:50,423 [Worker-5] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-10-08 13:40:50,639 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-10-08 13:40:50,641 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
